Words	Word	Line	Stanza
Mon	1	1	1
enfant,	2	1	1
ma	3	1	1
soeur,	4	1	1
Songe	5	2	1
à	6	2	1
la	7	2	1
douceur	8	2	1
D'aller	9	3	1
là	10	3	1
bas	11	3	1
vivre	12	3	1
ensemble!	13	3	1
Aimer	14	4	1
à	15	4	1
loisir,	16	4	1
Aimer	17	5	1
et	18	5	1
mourir	19	5	1
Au	20	6	1
pays	21	6	1
qui	22	6	1
te	23	6	1
ressemble!	24	6	1
Les	25	7	1
soleils	26	7	1
mouillés	27	7	1
De	28	8	1
ces	29	8	1
ciels	30	8	1
brouillés	31	8	1
Pour	32	9	1
mon	33	9	1
esprit	34	9	1
ont	35	9	1
des	36	9	1
charmes	37	9	1
Si	38	10	1
mystérieux	39	10	1
De	40	11	1
tes	41	11	1
traitres	42	11	1
yeux,	43	11	1
Brillant	44	12	1
à	45	12	1
travers	46	12	1
leurs	47	12	1
larmes.	48	12	1
Là,	49	13	2
tout	50	13	2
n'est	51	13	2
qu'ordre	52	13	2
et	53	13	2
beauté,	54	13	2
Luxe,	55	14	2
calme	56	14	2
et	57	14	2
volupté.	58	14	2
Des	59	15	3
meubles	60	15	3
luisants,	61	15	3
Polis	62	16	3
par	63	16	3
les	64	16	3
ans,	65	16	3
Décoreraient	66	17	3
notre	67	17	3
chambre;	68	17	3
Les	69	18	3
plus	70	18	3
rares	71	18	3
fleurs	72	18	3
Mêlant	73	19	3
leurs	74	19	3
odeurs	75	19	3
Aux	76	20	3
vagues	77	20	3
senteurs	78	20	3
de	79	20	3
l'ambre,	80	20	3
Les	81	21	3
riches	82	21	3
plafonds,	83	21	3
Les	84	22	3
miroirs	85	22	3
profonds,	86	22	3
La	87	23	3
splendeur	88	23	3
orientale,	89	23	3
Tout	90	24	3
y	91	24	3
parlerait	92	24	3
A	93	25	3
l' âme	94	25	3
en	95	25	3
secret	96	25	3
Sa	97	26	3
douce	98	26	3
langue	99	26	3
natale.	100	26	3
Là,	101	27	4
tout	102	27	4
n'est	103	27	4
qu'ordre	104	27	4
et	105	27	4
beauté,	106	27	4
Luxe,	107	28	4
calme	108	28	4
et	109	28	4
volupté.	110	28	4
Vois	111	29	5
sur	112	29	5
ces	113	29	5
canaux	114	29	5
Dormir	115	30	5
ces	116	30	5
vaisseaux	117	30	5
Dont	118	31	5
l'humeur	119	31	5
est	120	31	5
vagabonde;	121	31	5
C'est	122	32	5
pour	123	32	5
assouvir	124	32	5
Tes	125	33	5
moindres	126	33	5
désirs	127	33	5
Qu'ils	128	34	5
viennent	129	34	5
du	130	34	5
bout	131	34	5
du	132	34	5
monde.	133	34	5
Les	134	35	5
soleils	135	35	5
couchants	136	35	5
Revêtent	137	36	5
les	138	36	5
champs,	139	36	5
Les	140	37	5
canaux,	141	37	5
la	142	37	5
ville	143	37	5
entière,	144	37	5
D'hyacinthe	145	38	5
et	146	38	5
d'or;	147	38	5
Le	148	39	5
monde	149	39	5
s'endort	150	39	5
Dans	151	40	5
une	152	40	5
chaude	153	40	5
lumière.	154	40	5
Là,	155	41	6
tout	156	41	6
n'est	157	41	6
qu'ordre	158	41	6
et	159	41	6
beauté,	160	41	6
Luxe,	161	42	6
calme	162	42	6
et	163	42	6
volupté.	164	42	6
