Words	Word	Line	Stanza
Bientôt	1	1	1
nous	2	1	1
plongerons	3	1	1
dans	4	1	1
les	5	1	1
froides	6	1	1
ténèbres;	7	1	1
Adieu,	8	2	1
vive	9	2	1
clarté	10	2	1
de	11	2	1
nos	12	2	1
étés	13	2	1
trop	14	2	1
courts!	15	2	1
J'entends	16	3	1
déjà	17	3	1
tomber	18	3	1
avec	19	3	1
des	20	3	1
chocs	21	3	1
funèbres	22	3	1
Le	23	4	1
bois	24	4	1
retentissant	25	4	1
sur	26	4	1
le	27	4	1
pavé	28	4	1
des	29	4	1
cours.	30	4	1
Tout	31	5	2
l'hiver	32	5	2
va	33	5	2
rentrer	34	5	2
dans	35	5	2
mon	36	5	2
être:	37	5	2
colère,	38	5	2
Haine,	39	6	2
frissons,	40	6	2
horreur,	41	6	2
labeur	42	6	2
dur	43	6	2
et	44	6	2
forcé,	45	6	2
Et,	46	7	2
comme	47	7	2
le	48	7	2
soleil	49	7	2
dans	50	7	2
son	51	7	2
enfer	52	7	2
polaire,	53	7	2
Mon	54	8	2
coeur	55	8	2
ne	56	8	2
sera	57	8	2
plus	58	8	2
qu'un	59	8	2
bloc	60	8	2
rouge	61	8	2
et	62	8	2
glacé.	63	8	2
J'écoute	64	9	3
en	65	9	3
frémissant	66	9	3
chaque	67	9	3
bûche	68	9	3
qui	69	9	3
tombe;	70	9	3
L'échafaud	71	10	3
qu'on	72	10	3
bâtit	73	10	3
n'a	74	10	3
pas	75	10	3
d'écho	76	10	3
plus	77	10	3
sourd.	78	10	3
Mon	79	11	3
esprit	80	11	3
est	81	11	3
pareil	82	11	3
à	83	11	3
la	84	11	3
tour	85	11	3
qui	86	11	3
succombe	87	11	3
Sous	88	12	3
les	89	12	3
coups	90	12	3
du	91	12	3
bélier	92	12	3
infatigable	93	12	3
et	94	12	3
lourd.	95	12	3
II	96	13	4
me	97	13	4
semble,	98	13	4
bercé	99	13	4
par	100	13	4
ce	101	13	4
choc	102	13	4
monotone,	103	13	4
Qu'on	104	14	4
cloue	105	14	4
en	106	14	4
grande	107	14	4
hâte	108	14	4
un	109	14	4
cercueil	110	14	4
quelque	111	14	4
part.	112	14	4
Pour	113	15	4
qui?	114	15	4
—	114	15	4
C'était	115	15	4
hier	116	15	4
l'été;	117	15	4
voici	118	15	4
l'automne!	119	15	4
Ce	120	16	4
bruit	121	16	4
mystérieux	122	16	4
sonne	123	16	4
comme	124	16	4
un	125	16	4
départ.	126	16	4
J'aime	127	17	5
de	128	17	5
vos	129	17	5
longs	130	17	5
yeux	131	17	5
la	132	17	5
lumière	133	17	5
verdâtre,	134	17	5
Douce	135	18	5
beauté,	136	18	5
mais	137	18	5
tout	138	18	5
aujourd'hui	139	18	5
m'est	140	18	5
amer,	141	18	5
Et	142	19	5
rien,	143	19	5
ni	144	19	5
votre	145	19	5
amour,	146	19	5
ni	147	19	5
le	148	19	5
boudoir,	149	19	5
ni	150	19	5
l'âtre,	151	19	5
Ne	152	20	5
me	153	20	5
vaut	154	20	5
le	155	20	5
soleil	156	20	5
rayonnant	157	20	5
sur	158	20	5
la	159	20	5
mer.	160	20	5
Et	161	21	6
pourtant	162	21	6
aimez-moi,	163	21	6
tendre	164	21	6
coeur!	165	21	6
soyez	166	21	6
mère,	167	21	6
Même	168	22	6
pour	169	22	6
un	170	22	6
ingrat,	171	22	6
même	172	22	6
pour	173	22	6
un	174	22	6
méchant;	175	22	6
Amante	176	23	6
ou	177	23	6
soeur,	178	23	6
soyez	179	23	6
la	180	23	6
douceur	181	23	6
éphémère	182	23	6
D'un	183	24	6
glorieux	184	24	6
automne	185	24	6
ou	186	24	6
d'un	187	24	6
soleil	188	24	6
couchant.	189	24	6
Courte	190	25	7
tâche!	191	25	7
La	192	25	7
tombe	193	25	7
attend;	194	25	7
elle	195	25	7
est	196	25	7
avide!	197	25	7
Ah!	198	26	7
laissez-moi,	199	26	7
mon	200	26	7
front	201	26	7
posé	202	26	7
sur	203	26	7
vos	204	26	7
genoux,	205	26	7
Goûter,	206	27	7
en	207	27	7
regrettant	208	27	7
l'été	209	27	7
blanc	210	27	7
et	211	27	7
torride,	212	27	7
De	213	28	7
l'arrière-saison	214	28	7
le	215	28	7
rayon	216	28	7
jaune	217	28	7
et	218	28	7
doux!	219	28	7
